date,hostname,os,uptime_hours,active_session_minutes,cpu_usage_percent,memory_usage_percent,disk_free_gb,health_status
"2026-04-03 10:09:52","X29995","Microsoft Windows 11 Enterprise",1.69,101.27,12.5,76.2,27.9,"Warning"
"2026-04-03 10:09:54","X29995","Microsoft Windows 11 Enterprise",1.69,101.30,8.9,76.1,27.9,"Warning"
"2026-04-03 10:09:57","X29995","Microsoft Windows 11 Enterprise",1.69,101.34,16.2,76.1,27.9,"Warning"
"2026-04-03 10:09:59","X29995","Microsoft Windows 11 Enterprise",1.69,101.38,12.7,76.1,27.9,"Warning"
"2026-04-03 10:10:01","X29995","Microsoft Windows 11 Enterprise",1.69,101.42,11.6,76.2,27.9,"Warning"
"2026-04-03 10:10:03","X29995","Microsoft Windows 11 Enterprise",1.69,101.45,29.8,76.2,27.9,"Warning"
"2026-04-03 10:10:06","X29995","Microsoft Windows 11 Enterprise",1.69,101.49,25.5,76.1,27.9,"Warning"
"2026-04-03 10:10:08","X29995","Microsoft Windows 11 Enterprise",1.69,101.53,15.6,76.1,27.9,"Warning"
"2026-04-03 10:10:10","X29995","Microsoft Windows 11 Enterprise",1.69,101.57,31.4,76.2,27.9,"Warning"
"2026-04-03 10:10:12","X29995","Microsoft Windows 11 Enterprise",1.69,101.60,35.1,73.3,27.9,"Healthy"
"2026-04-03 10:10:14","X29995","Microsoft Windows 11 Enterprise",1.69,101.64,23.8,73.3,27.9,"Healthy"
"2026-04-03 10:10:17","X29995","Microsoft Windows 11 Enterprise",1.69,101.68,23.9,73.3,27.9,"Healthy"
"2026-04-03 10:10:19","X29995","Microsoft Windows 11 Enterprise",1.70,101.72,28.3,73.4,27.9,"Healthy"
"2026-04-03 10:10:21","X29995","Microsoft Windows 11 Enterprise",1.70,101.76,15.6,72.6,27.9,"Healthy"
"2026-04-03 10:10:24","X29995","Microsoft Windows 11 Enterprise",1.70,101.79,3.5,37.0,27.9,"Healthy"
"2026-04-03 10:10:26","X29995","Microsoft Windows 11 Enterprise",1.70,101.83,3.2,36.9,27.9,"Healthy"
"2026-04-03 10:10:28","X29995","Microsoft Windows 11 Enterprise",1.70,101.87,14.0,36.8,27.9,"Healthy"
"2026-04-03 10:10:31","X29995","Microsoft Windows 11 Enterprise",1.70,101.91,4.5,36.8,27.9,"Healthy"
"2026-04-03 10:10:33","X29995","Microsoft Windows 11 Enterprise",1.70,101.95,4.1,36.8,27.9,"Healthy"
"2026-04-03 10:10:35","X29995","Microsoft Windows 11 Enterprise",1.70,101.99,4.6,36.8,27.9,"Healthy"
"2026-04-03 10:10:38","X29995","Microsoft Windows 11 Enterprise",1.70,102.03,4.3,36.8,27.9,"Healthy"
"2026-04-03 10:10:40","X29995","Microsoft Windows 11 Enterprise",1.70,102.07,4.2,36.8,27.9,"Healthy"
"2026-04-03 10:10:42","X29995","Microsoft Windows 11 Enterprise",1.70,102.11,6.8,36.8,27.9,"Healthy"
"2026-04-03 10:10:45","X29995","Microsoft Windows 11 Enterprise",1.70,102.15,4.0,36.8,27.9,"Healthy"
"2026-04-03 10:10:47","X29995","Microsoft Windows 11 Enterprise",1.70,102.18,4.9,36.8,27.9,"Healthy"
"2026-04-03 10:10:49","X29995","Microsoft Windows 11 Enterprise",1.70,102.22,6.5,36.8,27.9,"Healthy"
"2026-04-03 10:10:52","X29995","Microsoft Windows 11 Enterprise",1.70,102.26,11.5,36.8,27.9,"Healthy"
"2026-04-03 10:10:54","X29995","Microsoft Windows 11 Enterprise",1.71,102.30,26.9,36.8,27.9,"Healthy"
"2026-04-03 10:10:56","X29995","Microsoft Windows 11 Enterprise",1.71,102.34,84.1,37.4,27.9,"Warning"
"2026-04-03 10:10:59","X29995","Microsoft Windows 11 Enterprise",1.71,102.39,28.9,37.3,27.9,"Healthy"
"2026-04-03 10:11:01","X29995","Microsoft Windows 11 Enterprise",1.71,102.42,15.3,36.9,27.9,"Healthy"
"2026-04-03 10:11:04","X29995","Microsoft Windows 11 Enterprise",1.71,102.46,3.9,36.8,27.9,"Healthy"
"2026-04-03 10:11:06","X29995","Microsoft Windows 11 Enterprise",1.71,102.50,5.5,36.8,27.9,"Healthy"
"2026-04-03 10:11:08","X29995","Microsoft Windows 11 Enterprise",1.71,102.54,5.9,36.8,27.9,"Healthy"
"2026-04-03 10:11:11","X29995","Microsoft Windows 11 Enterprise",1.71,102.58,5.5,36.9,27.9,"Healthy"
"2026-04-03 10:11:13","X29995","Microsoft Windows 11 Enterprise",1.71,102.62,15.7,36.8,27.9,"Healthy"
"2026-04-03 10:11:15","X29995","Microsoft Windows 11 Enterprise",1.71,102.66,58.3,36.9,27.9,"Healthy"
"2026-04-03 10:11:19","X29995","Microsoft Windows 11 Enterprise",1.71,102.71,83.3,37.4,27.9,"Warning"
"2026-04-03 10:11:21","X29995","Microsoft Windows 11 Enterprise",1.71,102.75,83.6,38.0,27.9,"Warning"
"2026-04-03 10:11:25","X29995","Microsoft Windows 11 Enterprise",1.71,102.81,78.7,41.2,27.9,"Warning"
"2026-04-03 10:11:27","X29995","Microsoft Windows 11 Enterprise",1.71,102.85,66.9,42.5,27.9,"Healthy"
"2026-04-03 10:11:30","X29995","Microsoft Windows 11 Enterprise",1.71,102.90,65.5,43.7,27.9,"Healthy"
"2026-04-03 10:11:34","X29995","Microsoft Windows 11 Enterprise",1.72,102.97,63.2,44.2,27.9,"Healthy"
"2026-04-03 10:11:37","X29995","Microsoft Windows 11 Enterprise",1.72,103.01,72.4,44.7,27.9,"Healthy"
"2026-04-03 10:11:39","X29995","Microsoft Windows 11 Enterprise",1.72,103.05,59.2,44.6,27.9,"Healthy"
"2026-04-03 10:11:42","X29995","Microsoft Windows 11 Enterprise",1.72,103.10,62.6,44.7,27.9,"Healthy"
"2026-04-03 10:11:44","X29995","Microsoft Windows 11 Enterprise",1.72,103.14,64.0,44.7,27.9,"Healthy"
"2026-04-03 10:11:47","X29995","Microsoft Windows 11 Enterprise",1.72,103.18,65.1,44.8,27.9,"Healthy"
"2026-04-03 10:11:49","X29995","Microsoft Windows 11 Enterprise",1.72,103.22,60.4,45.0,27.9,"Healthy"
"2026-04-03 10:12:19","X29995","Microsoft Windows 11 Enterprise",1.73,103.72,69.7,44.0,27.9,"Healthy"
"2026-04-03 10:12:22","X29995","Microsoft Windows 11 Enterprise",1.73,103.76,62.9,43.5,27.8,"Healthy"
"2026-04-03 10:12:24","X29995","Microsoft Windows 11 Enterprise",1.73,103.80,62.9,43.6,27.8,"Healthy"
"2026-04-03 10:12:26","X29995","Microsoft Windows 11 Enterprise",1.73,103.84,44.1,43.6,27.8,"Healthy"
"2026-04-03 10:12:28","X29995","Microsoft Windows 11 Enterprise",1.73,103.87,67.4,45.1,27.8,"Healthy"
