date,hostname,os,uptime_hours,adobe_runtime_minutes,cpu_usage_percent,memory_usage_percent,disk_free_gb,health_status,ticket_opened
2026-02-01,EDGE-001,Windows XP,13.62,11.87,44.3,70.3,211.8,Healthy,False
2026-02-01,EDGE-002,Fedora 41,13.36,9.98,9.5,24.0,11.8,Failure,True
2026-02-01,EDGE-003,Ubuntu 24.04,19.84,14.51,58.0,39.8,100.1,Healthy,False
2026-02-01,EDGE-004,Windows 11,21.02,1.06,44.8,95.5,188.2,Failure,True
2026-02-01,EDGE-005,Windows XP,13.02,4.63,47.3,57.9,282.7,Healthy,False
2026-02-01,EDGE-006,Ubuntu 24.04,17.0,9.44,99.1,60.6,162.9,Failure,True
2026-02-01,EDGE-007,Ubuntu 24.04,13.57,12.39,61.1,82.2,266.5,Warning,False
2026-02-01,EDGE-008,Windows 11,21.0,4.84,43.4,51.0,347.7,Healthy,False
2026-02-01,EDGE-009,Ubuntu 24.04,16.1,12.04,16.3,98.5,206.2,Failure,True
2026-02-01,EDGE-010,Ubuntu 24.04,23.82,18.51,51.1,50.2,192.1,Healthy,False
2026-02-02,EDGE-001,Windows XP,20.84,14.93,13.0,53.1,201.0,Healthy,False
2026-02-02,EDGE-002,Fedora 41,18.13,3.82,53.1,100.0,220.2,Failure,True
2026-02-02,EDGE-003,Ubuntu 24.04,18.06,0.35,42.0,57.9,77.9,Healthy,False
2026-02-02,EDGE-004,Windows 11,15.3,0.8,61.0,45.6,410.1,Healthy,False
2026-02-02,EDGE-005,Windows XP,19.55,11.65,56.0,54.2,238.0,Healthy,False
2026-02-02,EDGE-006,Ubuntu 24.04,7.51,5.68,32.1,52.0,358.8,Healthy,False
2026-02-02,EDGE-007,Ubuntu 24.04,11.77,7.77,33.6,59.1,35.0,Warning,False
2026-02-02,EDGE-008,Windows 11,21.41,5.45,49.3,47.4,16.3,Warning,True
2026-02-02,EDGE-009,Ubuntu 24.04,15.27,2.33,67.1,50.8,205.5,Healthy,False
2026-02-02,EDGE-010,Ubuntu 24.04,18.11,6.94,49.5,64.7,168.4,Healthy,False
2026-02-03,EDGE-001,Windows XP,17.54,13.04,42.9,22.2,8.0,Failure,True
2026-02-03,EDGE-002,Fedora 41,20.75,11.28,31.9,71.4,8.0,Failure,True
2026-02-03,EDGE-003,Ubuntu 24.04,24.0,13.22,30.8,66.7,208.0,Healthy,False
2026-02-03,EDGE-004,Windows 11,22.73,15.99,37.5,34.1,121.3,Healthy,False
2026-02-03,EDGE-005,Windows XP,19.6,17.63,49.1,69.3,28.1,Warning,False
2026-02-03,EDGE-006,Ubuntu 24.04,12.56,5.59,36.5,25.2,320.1,Healthy,False
2026-02-03,EDGE-007,Ubuntu 24.04,23.3,21.97,25.0,60.4,190.5,Healthy,False
2026-02-03,EDGE-008,Windows 11,10.42,0.27,35.9,44.1,27.9,Warning,True
2026-02-03,EDGE-009,Ubuntu 24.04,20.18,0.81,48.3,90.7,151.4,Warning,False
2026-02-03,EDGE-010,Ubuntu 24.04,12.4,6.45,77.2,76.1,8.0,Failure,False
2026-02-04,EDGE-001,Windows XP,21.24,14.98,78.8,95.5,250.9,Failure,False
2026-02-04,EDGE-002,Fedora 41,22.84,1.14,46.7,46.9,140.4,Healthy,False
2026-02-04,EDGE-003,Ubuntu 24.04,13.36,7.52,42.4,49.3,137.0,Healthy,False
2026-02-04,EDGE-004,Windows 11,13.1,10.2,77.9,77.1,244.4,Healthy,False
2026-02-04,EDGE-005,Windows XP,16.82,3.47,38.8,43.9,157.2,Healthy,False
2026-02-04,EDGE-006,Ubuntu 24.04,14.22,7.34,65.0,41.4,181.6,Healthy,False
2026-02-04,EDGE-007,Ubuntu 24.04,23.83,17.76,32.7,55.8,184.8,Healthy,False
2026-02-04,EDGE-008,Windows 11,18.11,17.33,40.4,19.5,282.7,Healthy,False
2026-02-04,EDGE-009,Ubuntu 24.04,22.31,7.18,44.3,78.6,146.0,Healthy,False
2026-02-04,EDGE-010,Ubuntu 24.04,21.11,14.89,47.9,53.4,141.9,Healthy,False
2026-02-05,EDGE-001,Windows XP,24.0,8.7,53.7,52.1,62.9,Healthy,False
2026-02-05,EDGE-002,Fedora 41,20.91,16.44,59.1,70.2,199.1,Healthy,False
2026-02-05,EDGE-003,Ubuntu 24.04,24.0,3.27,37.2,28.5,213.6,Healthy,False
2026-02-05,EDGE-004,Windows 11,19.82,6.87,93.0,40.6,166.7,Failure,True
2026-02-05,EDGE-005,Windows XP,18.37,0.86,30.6,46.7,59.1,Healthy,False
2026-02-05,EDGE-006,Ubuntu 24.04,21.24,0.04,29.7,74.2,34.7,Warning,True
2026-02-05,EDGE-007,Ubuntu 24.04,17.01,6.2,78.5,46.2,165.6,Warning,False
2026-02-05,EDGE-008,Windows 11,12.74,3.03,92.1,45.3,182.7,Failure,False
2026-02-05,EDGE-009,Ubuntu 24.04,15.45,13.31,9.9,96.8,153.5,Failure,True
2026-02-05,EDGE-010,Ubuntu 24.04,21.31,3.29,61.4,91.3,165.5,Warning,False
2026-02-06,EDGE-001,Windows XP,17.49,6.3,61.7,62.0,480.0,Healthy,False
2026-02-06,EDGE-002,Fedora 41,21.28,16.72,12.8,76.3,164.2,Healthy,False
2026-02-06,EDGE-003,Ubuntu 24.04,17.0,13.97,65.6,54.6,8.6,Failure,True
2026-02-06,EDGE-004,Windows 11,17.09,6.62,41.7,37.4,162.9,Healthy,False
2026-02-06,EDGE-005,Windows XP,15.26,3.23,32.7,35.4,115.2,Healthy,False
2026-02-06,EDGE-006,Ubuntu 24.04,23.18,13.93,57.1,56.6,245.5,Healthy,False
2026-02-06,EDGE-007,Ubuntu 24.04,15.78,4.43,44.9,64.1,254.1,Healthy,False
2026-02-06,EDGE-008,Windows 11,22.65,4.49,98.9,58.4,23.3,Failure,True
2026-02-06,EDGE-009,Ubuntu 24.04,23.75,10.77,54.0,44.4,164.5,Healthy,False
2026-02-06,EDGE-010,Ubuntu 24.04,19.9,1.27,80.1,80.3,262.7,Warning,False
2026-02-07,EDGE-001,Windows XP,21.11,3.48,52.3,36.9,94.8,Healthy,False
2026-02-07,EDGE-002,Fedora 41,20.88,20.12,36.2,27.5,97.8,Healthy,False
2026-02-07,EDGE-003,Ubuntu 24.04,19.98,2.18,20.1,97.1,189.4,Failure,True
2026-02-07,EDGE-004,Windows 11,13.48,1.09,40.2,50.5,30.8,Warning,False
2026-02-07,EDGE-005,Windows XP,19.41,18.15,14.8,35.1,139.9,Healthy,False
2026-02-07,EDGE-006,Ubuntu 24.04,13.61,13.24,29.7,94.0,39.9,Failure,True
2026-02-07,EDGE-007,Ubuntu 24.04,16.43,7.4,54.5,72.9,145.4,Healthy,False
2026-02-07,EDGE-008,Windows 11,18.11,4.72,26.0,95.3,281.3,Failure,True
2026-02-07,EDGE-009,Ubuntu 24.04,18.77,16.75,56.9,26.8,220.6,Healthy,False
2026-02-07,EDGE-010,Ubuntu 24.04,24.0,2.82,18.8,97.9,26.4,Failure,True
2026-02-08,EDGE-001,Windows XP,23.96,7.75,28.6,21.4,257.3,Healthy,False
2026-02-08,EDGE-002,Fedora 41,21.23,15.01,57.6,37.2,191.6,Healthy,False
